Replicas,Concurrency,Requests,Requests per second (mean),Longest request(ms),98 percentile(ms)
1,50,10000,48446.56,5,2
1,100,10000,51009.48,6,3
1,500,10000,41672.05,14,12
1,1000,10000,38563.73,26,24
1,2000,10000,32643.36,49,46
1,5000,20000,29975.61,117,114
1,10000,30000,27348.78,264,222
1,15000,45000,27230.17,356,345
3,50,10000,55250.45,3,2
3,100,10000,53996.56,5,2
3,500,10000,44957.96,15,12
3,1000,10000,38525.25,27,23
3,2000,10000,33194.91,46,44
3,5000,20000,28923.43,122,118
3,10000,30000,26810.11,237,234
3,15000,45000,27672.4,338,335
6,50,10000,53830.58,5,2
6,100,10000,53241.33,6,3
6,500,10000,43139.34,15,12
6,1000,10000,37506.28,25,24
6,2000,10000,31935.92,52,47
6,5000,20000,27987.65,137,129
6,10000,30000,26845.33,236,228
6,15000,45000,26964.08,353,342
9,50,10000,54138.92,6,2
9,100,10000,53714.64,6,3
9,500,10000,43306.35,16,12
9,1000,10000,38249.84,31,23
9,2000,10000,31911.77,51,47
9,5000,20000,30943.31,117,110
9,10000,30000,270059.6,236,228
9,15000,45000,25458.87,380,377
12,50,10000,50592.69,4,2
12,100,10000,500001.5,11,3
12,500,10000,42093.74,15,12
12,1000,10000,38170.71,26,23
12,2000,10000,32117.47,56,50
12,5000,20000,29493.17,133,119
12,10000,30000,27346.61,235,228
12,15000,45000,27219.87,352,341
